event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
25274293,183.3624237536657,5,272.5919365052385,1,3,1,,,
25274293,184.00920478983383,5,273.5534600907949,3,4,3,,,
25274293,184.65598582600197,6,274.5149836763513,2,0,3,,,
25274293,185.3027668621701,5,275.47650726190767,0,2,2,,,
27471395,185.94954789833824,4,276.43803084746406,2,1,5,,,
27471395,186.59632893450637,3,277.39955443302046,4,1,0,,,
27471395,187.2431099706745,4,278.36107801857685,3,0,1,,,
27471395,187.88989100684262,4,279.32260160413324,1,2,2,,,
27471395,188.53667204301075,4,280.28412518968963,2,0,4,,,
27471395,189.1834530791789,3,281.245648775246,1,0,2,,,
27471395,189.83023411534703,4,282.2071723608024,2,1,2,,,
27471395,190.47701515151516,5,283.1686959463588,1,3,1,,,
27471395,191.1237961876833,1,284.13021953191526,4,0,1,,,
27471395,191.77057722385143,6,285.09174311747165,1,1,4,,,
27471395,192.41735826001957,2,286.05326670302804,3,2,3,,,
28714827,193.0641392961877,6,287.01479028858444,1,2,5,,,
29026380,193.71092033235584,2,287.9763138741408,5,2,2,,,
29026380,194.35770136852398,5,288.9378374596972,1,1,5,,,
29026380,195.00448240469208,2,289.8993610452536,3,0,3,,,
30994981,195.65126344086022,3,290.86088463081,1,0,5,,,
33067875,196.29804447702836,2,291.8224082163664,1,0,3,,,
33067875,196.9448255131965,2,292.7839318019228,1,1,2,,,
33067875,197.59160654936463,4,293.7454553874792,1,2,1,,,
33067875,198.23838758553276,4,294.7069789730356,3,0,3,,,
33067875,198.8851686217009,4,295.66850255859197,4,0,4,,,
33067875,199.53194965786903,0,296.63002614414836,1,0,3,,,
33067875,200.17873069403717,1,297.5915497297048,0,1,1,,,
33067875,200.82551173020528,5,298.5530733152612,0,0,2,,,
33113741,201.4722927663734,5,299.5145969008176,1,0,4,,,
33113741,202.11907380254155,4,300.476120486374,1,2,0,,,
33113741,202.76585483870969,2,301.4376440719304,0,0,1,,,
39114139,203.41263587487782,1,302.39916765748677,0,1,4,,,
39114139,204.05941691104596,4,303.36069124304316,2,0,0,,,
39114139,204.7061979472141,3,304.32221482859956,1,0,4,,,
40632019,205.35297898338223,5,305.28373841415595,0,0,2,,,
41551754,205.99976001955037,0,306.24526199971234,4,0,3,,,
42674583,206.6465410557185,2,307.20678558526873,2,2,1,,,
42674583,207.29332209188664,1,308.1683091708251,1,2,3,,,
42674583,207.94010312805474,1,309.1298327563816,1,3,4,,,
42674583,208.58688416422288,0,310.09135634193797,2,0,4,,,
43350893,209.23366520039102,2,311.05287992749436,1,0,2,,,
43350893,209.88044623655915,3,312.01440351305075,0,1,3,,,
43350893,210.5272272727273,2,312.97592709860714,0,0,6,,,
43350893,211.17400830889542,4,313.93745068416354,0,3,3,,,
43350893,211.82078934506356,4,314.89897426971993,2,1,1,,,
45875617,212.4675703812317,4,315.8604978552763,4,3,3,,,
45875617,213.1143514173998,0,316.8220214408327,1,0,5,,,
45875617,213.76113245356794,3,317.7835450263891,3,4,1,,,
45875617,214.40791348973607,2,318.7450686119455,2,1,1,,,
45875617,215.0546945259042,3,319.7065921975019,0,3,1,,,
45875617,215.70147556207235,6,320.6681157830583,1,1,1,,,
46119152,216.34825659824048,2,321.6296393686147,0,1,4,,,
46119152,216.99503763440862,3,322.5911629541711,0,1,4,,,
46119152,217.64181867057675,4,323.5526865397275,1,1,0,,,
46119152,218.2885997067449,1,324.5142101252839,1,1,3,,,
46958675,218.93538074291303,1,325.4757337108403,2,2,3,,,
50680835,219.58216177908116,2,326.4372572963967,1,0,3,,,
50680835,220.22894281524927,1,327.3987808819531,2,1,1,,,
50680835,220.8757238514174,3,328.3603044675095,0,0,0,,,
50680835,221.52250488758554,3,329.3218280530659,0,3,2,,,
50680835,222.16928592375368,2,330.28335163862226,0,1,3,,,
50680835,222.8160669599218,5,331.24487522417866,1,1,3,,,
50680835,223.46284799608995,3,332.20639880973505,1,0,1,,,
50680835,224.10962903225808,2,333.16792239529144,1,1,0,,,
50680835,224.75641006842622,1,334.1294459808479,0,1,2,,,
50680835,225.40319110459436,3,335.0909695664043,0,1,2,,,
50680835,226.04997214076246,3,336.0524931519607,0,1,1,,,
50680835,226.6967531769306,3,337.01401673751707,1,3,1,,,
50680835,227.34353421309874,2,337.97554032307346,0,2,3,,,
50680835,227.99031524926687,4,338.93706390862985,1,0,2,,,
50680835,228.637096285435,3,339.89858749418624,0,2,2,,,
50680835,229.28387732160314,5,340.86011107974264,0,0,3,,,
50680835,229.93065835777128,5,341.82163466529903,0,0,3,,,
50680835,230.57743939393941,6,342.7831582508554,1,1,3,,,
50680835,231.22422043010755,4,343.7446818364118,2,1,1,,,
50680835,231.8710014662757,1,344.7062054219682,1,0,0,,,
50680835,232.51778250244382,1,345.6677290075246,0,0,1,,,
51962615,233.16456353861193,5,346.629252593081,1,1,1,,,
51962615,233.81134457478007,2,347.5907761786374,1,0,0,,,
52762123,234.4581256109482,5,348.55229976419383,0,0,2,,,
52762123,235.10490664711634,2,349.5138233497502,1,1,0,,,
52762123,235.75168768328447,3,350.4753469353066,1,4,2,,,
52963005,236.3984687194526,2,351.436870520863,0,1,1,,,
52963005,237.04524975562074,1,352.3983941064194,0,1,3,,,
52963005,237.69203079178888,3,353.3599176919758,1,0,2,,,
52963005,238.33881182795702,7,354.3214412775322,0,0,3,,,
52963005,238.98559286412512,6,355.2829648630886,0,1,2,,,
52963005,239.63237390029326,2,356.244488448645,0,1,1,,,
60399535,240.2791549364614,0,357.20601203420136,0,0,4,,,
60399535,240.92593597262953,1,358.16753561975776,0,2,3,,,
60399535,241.57271700879767,3,359.12905920531415,0,2,4,,,
60399535,242.2194980449658,5,360.0905827908706,0,0,4,,,
60399535,242.86627908113394,4,361.052106376427,2,0,3,,,
60399535,243.51306011730208,3,362.0136299619834,1,0,3,,,
61524941,244.1598411534702,3,362.9751535475398,0,0,3,,,
62117060,244.80662218963835,4,363.93667713309617,0,1,0,,,
62918112,245.45340322580648,4,364.89820071865256,0,2,4,,,
62918112,246.1001842619746,0,365.85972430420895,0,0,3,,,
62918112,246.74696529814273,1,366.82124788976535,0,0,4,,,
62918112,247.39374633431086,1,367.78277147532174,0,1,1,,,
64648196,248.040527370479,2,368.74429506087813,0,2,4,,,
64648196,248.68730840664713,1,369.7058186464345,0,3,4,,,
64648196,249.33408944281527,0,370.6673422319909,1,3,2,,,
64648196,249.9808704789834,3,371.6288658175473,1,1,2,,,
64648196,250.62765151515154,1,372.5903894031037,0,0,0,,,
64648196,251.27443255131965,2,373.55191298866015,0,0,2,,,
68572004,251.92121358748778,1,374.51343657421654,1,1,2,,,
68572004,252.56799462365592,5,375.47496015977293,0,0,4,,,
68572004,253.21477565982406,1,376.4364837453293,0,0,1,,,
69532713,253.8615566959922,3,377.3980073308857,0,0,0,,,
69532713,254.50833773216033,2,378.3595309164421,1,1,0,,,
69532713,255.15511876832846,4,379.3210545019985,1,1,3,,,
69810844,255.8018998044966,4,380.2825780875549,0,0,2,,,
69810844,256.44868084066474,6,381.2441016731113,2,1,3,,,
70450796,257.09546187683287,1,382.2056252586677,0,0,3,,,
74088852,257.742242913001,4,383.1671488442241,0,0,1,,,
74088852,258.38902394916914,2,384.12867242978047,2,0,0,,,
74088852,259.0358049853373,3,385.0901960153369,0,0,3,,,
75085855,259.6825860215054,5,386.0517196008933,0,0,1,,,
75085855,260.32936705767355,5,387.0132431864497,0,0,5,,,
75085855,260.97614809384163,2,387.9747667720061,0,0,1,,,
75085855,261.62292913000977,4,388.9362903575625,1,1,3,,,
75085855,262.2697101661779,1,389.8978139431189,0,1,3,,,
75085855,262.91649120234604,2,390.85933752867527,0,0,3,,,
75085855,263.5632722385142,4,391.82086111423166,0,0,1,,,
75966879,264.2100532746823,4,392.78238469978805,0,0,2,,,
76648918,264.85683431085045,4,393.74390828534445,0,1,1,,,
76648918,265.5036153470186,1,394.70543187090084,1,0,2,,,
76648918,266.1503963831867,2,395.66695545645723,1,0,6,,,
76648918,266.79717741935485,3,396.6284790420136,1,1,1,,,
76648918,267.443958455523,2,397.59000262757,0,0,4,,,
76648918,268.0907394916911,6,398.55152621312646,0,0,1,,,
76648918,268.73752052785926,5,399.51304979868286,0,0,3,,,
76648918,269.3843015640274,5,400.47457338423925,0,0,3,,,
76648918,270.03108260019553,5,401.43609696979564,0,0,2,,,
76648918,270.67786363636367,0,402.39762055535203,1,0,1,,,
76648918,271.3246446725318,6,403.3591441409084,0,0,2,,,
78125209,271.97142570869994,1,404.3206677264648,0,0,2,,,
78125209,272.6182067448681,4,405.2821913120212,0,0,2,,,
78125209,273.2649877810362,1,406.2437148975776,0,0,2,,,
85967781,273.91176881720435,2,407.205238483134,0,2,2,,,
85967781,274.5585498533724,2,408.1667620686904,1,1,0,,,
85967781,275.20533088954056,9,409.1282856542468,1,2,2,,,
85967781,275.8521119257087,3,410.08980923980323,0,0,1,,,
86806139,276.49889296187683,2,411.0513328253596,0,0,1,,,
86806139,277.14567399804497,5,412.012856410916,0,0,1,,,
86806139,277.7924550342131,2,412.9743799964724,1,0,3,,,
86806139,278.43923607038124,5,413.9359035820288,0,1,4,,,
86806139,279.0860171065494,1,414.8974271675852,0,0,2,,,
86806139,279.7327981427175,4,415.8589507531416,0,0,6,,,
89443020,280.37957917888565,6,416.820474338698,0,1,0,,,
89443020,281.0263602150538,1,417.78199792425437,0,0,1,,,
89443020,281.6731412512219,1,418.74352150981076,0,0,1,,,
89443020,282.31992228739006,2,419.70504509536715,1,0,1,,,
89443020,282.9667033235582,0,420.66656868092355,0,1,2,,,
90842029,283.6134843597263,1,421.62809226647994,0,1,3,,,
90842029,284.26026539589446,3,422.58961585203633,1,0,2,,,
90842029,284.9070464320626,0,423.5511394375928,1,0,1,,,
90842029,285.55382746823074,2,424.5126630231492,0,0,1,,,
